United States,1163116,2015,1,0.48
United Kingdom,387075,2015,2,0.16
Canada,245473,2015,3,0.10
Germany,209684,2015,4,0.09
Australia,132654,2015,5,0.06
Italy,113632,2015,6,0.05
Netherlands,83380,2015,7,0.03
France,76182,2015,8,0.03
United States,1692807,2016,1,0.50
United Kingdom,537644,2016,2,0.16
Canada,335467,2016,3,0.10
Germany,299752,2016,4,0.09
Italy,167459,2016,5,0.05
Australia,152465,2016,6,0.05
Netherlands,112414,2016,7,0.03
France,81292,2016,8,0.02
United States,2169565,2017,1,0.51
United Kingdom,566343,2017,2,0.13
Canada,418583,2017,3,0.10
Germany,403343,2017,4,0.10
Italy,239457,2017,5,0.06
Australia,182324,2017,6,0.04
Netherlands,130733,2017,7,0.03
France,119111,2017,8,0.03
United States,4217417,2018,1,0.53
United Kingdom,1007709,2018,2,0.13
Canada,807990,2018,3,0.10
Germany,742602,2018,4,0.09
Australia,419332,2018,5,0.05
Italy,294267,2018,6,0.04
Netherlands,265174,2018,7,0.03
France,195510,2018,8,0.02
United States,5432641,2019,1,0.54
United Kingdom,1148114,2019,2,0.12
Canada,1013689,2019,3,0.10
Germany,958953,2019,4,0.10
Australia,519883,2019,5,0.05
Italy,333179,2019,6,0.03
Netherlands,298270,2019,7,0.03
France,267604,2019,8,0.03
United States,1959410,2020,1,0.55
Germany,390824,2020,2,0.11
United Kingdom,366368,2020,3,0.10
Canada,341104,2020,4,0.09
Australia,185834,2020,5,0.05
Netherlands,149062,2020,6,0.04
France,103771,2020,7,0.03
Italy,97406,2020,8,0.03
United States,3855539,2021,1,0.57
Canada,687592,2021,2,0.10
Germany,633189,2021,3,0.09
United Kingdom,579895,2021,4,0.09
Australia,399282,2021,5,0.06
Netherlands,255676,2021,6,0.04
France,214998,2021,7,0.03
Italy,116694,2021,8,0.02
United States,7590113,2022,1,0.55
Germany,1504083,2022,2,0.11
Canada,1406879,2022,3,0.10
United Kingdom,1209011,2022,4,0.09
Australia,869718,2022,5,0.06
Netherlands,606842,2022,6,0.04
France,480059,2022,7,0.03
Italy,240594,2022,8,0.02
United States,4882573,2023,1,0.48
Germany,1355431,2023,2,0.13
Canada,1138120,2023,3,0.11
United Kingdom,805300,2023,4,0.08
Australia,685163,2023,5,0.07
Netherlands,588866,2023,6,0.06
France,376915,2023,7,0.04
Italy,237508,2023,8,0.02
United States,1163658,2024,1,0.45
Germany,382548,2024,2,0.15
Canada,320582,2024,3,0.13
United Kingdom,221845,2024,4,0.09
Australia,172091,2024,5,0.07
Netherlands,150968,2024,6,0.06
France,90522,2024,7,0.04
Italy,59779,2024,8,0.02
